,auth_id,name,last_name,citations,cited_by,publications,orcid
6511,57191574578,Juan Gallego,Medina,0.0,0,1.0,
6512,56980231000,José Vicente,Alonso,0.0,0,1.0,
6513,57087742900,Javier,Alonso,0.0,0,1.0,
6514,8246547300,Gabriel Gascó,Guerrero,0.0,0,1.0,
6515,57207874003,Alberto Garcia,Martinez,0.0,0,1.0,
6516,35146753200,Carrasco Gallego,Ruth,1.0,1,2.0,
6517,56871313100,Isabel Salto Weis,Azevedo,59.0,59,1.0,
6518,57205902032,M. J.,Méndez,0.0,0,1.0,
6519,57194385830,Francisco Andrés,Díez-Zamudio,0.0,0,1.0,
6520,57203128931,Rubén,Tenorio-Berrío,0.0,0,1.0,
6521,56021466200,Pamela Catherine Flores,Naranjo,0.0,0,1.0,
6522,55420368100,Alejandro Martín Medrano,Gil,9.0,9,2.0,
6523,57197426018,J.,Tutor,1.0,1,1.0,
6524,56971469300,Santos Eguren,Segurado,0.0,0,1.0,
